CodParroquia;NomParroquia;CodCanton;;;
343P;CHACRAS;74Can;;;
344P;CUMBARATZA;29Can;;;
345P;ARCHIDONA, CABECERA CANTONAL;153Can;;;
346P;GENERAL FARFAN;75Can;;;
347P;PROGRESO;15Can;;;
348P;SAN RAFAEL;112Can;;;
349P;SAN GERARDO;GIRON;;;
350P;SIETE DE JULIO;44Can;;;
351P;OCHOA LEÓN (MATRIZ);15Can;;;
352P;YANTZAZA (YANZATZA), CABECERA CANTONAL;99Can;;;
353P;ALAMOR, CABECERA CANTONAL;154Can;;;
354P;EL CISNE;26Can;;;
355P;SAN JOSE DE ANCON;3Can;;;
356P;CAPIRO (CAB EN LA CAPILLA DE CAPIRO);88Can;;;
357P;TENGUEL;5Can;;;
358P;LUIS TELLO  (LAS PALMAS);93Can;;;
359P;CORONEL CARLOS CONCHA TORRES (CAB. EN HUELE);93Can;;;
360P;ROSA ZÁRATE (QUININDÉ), CABECERA CANTONAL;106Can;;;
361P;BORBÓN;155Can;;;
362P;VICHE;155Can;;;
363P;CAMARONES (CAB EN SAN VICENTE);93Can;;;
364P;RIO VERDE, CAB CANTONAL;156Can;;;
365P;VUELTA LARGA;93Can;;;
366P;GENERAL VILLAMIL (PLAYAS), CABECERA CANTONAL;157Can;;;
367P;PASCUALES;5Can;;;
368P;SIMÓN PLATA TORRES;93Can;;;
369P;TABIAZO;93Can;;;
370P;GALERA;66Can;;;
371P;TACHINA;93Can;;;
372P;SANTA ROSA;42Can;;;
373P;TONCHIGÜE;2Can;;;
374P;5 DE AGOSTO;93Can;;;
375P;MUISNE, CABECERA CANTONAL;66Can;;;
376P;LA TOLA;155Can;;;
377P;SANTA CLARA;158Can;;;
378P;BOLÍVAR;174Can;;;
379P;SAN JOSE DE CHAMANGA;66Can;;;
380P;SÚA (CAB. EN LA BOCANA);206Can;;;
381P;SANTA ROSA DE CUZUBAMBA;55Can;;;
382P;LUIS VARGAS TORRES (CAB EN PLAYA DE ORO);155Can;;;
383P;TELEMBI;155Can;;;
384P;ABRAHAM CALAZACÓN;53Can;;;
385P;TOSAGUA, CABECERA CANTONAL;159Can;;;
386P;SANTA LUCÍA DE LAS PEÑAS;155Can;;;
387P;ALFREDO BAQUERIZO MORENO (JUJAN), CAB CANTONAL;160Can;;;
388P;CHANDUY;3Can;;;
389P;BALLENITA;3Can;;;
390P;ROCA;5Can;;;
391P;OLMEDO (SAN ALEJO);5Can;;;
392P;ANCONCITO;25Can;;;
393P;DAULE, CABECERA CANTONAL;161Can;;;
394P;EL SALITRE (LAS RMAS) (CABECERA CANTONAL);162Can;;;
395P;CRUCITA;85Can;;;
396P;SAN LUIS;54Can;;;
397P;SAN VICENTE, CABECERA CANTONAL;86Can;;;
398P;PEDRO CARBO, CAB CANTONAL;163Can;;;
399P;MONTALVO, CABECERA CANTONAL;164Can;;;
400P;SAN CARLOS;13Can;;;
401P;VENTANAS, CABECERA CANTONAL;165Can;;;
402P;HUIGRA;130Can;;;
403P;PAJÁN, CABECERA CANTONAL;62Can;;;
404P;LOS LOJAS (ENRIQUE BAQUERIZO MORENO);161Can;;;
405P;LEONIDAS PLAZA GUTIÉRREZ;73Can;;;
406P;EL PROGRESO;95Can;;;
407P;CHONGON;5Can;;;
408P;ALOASÍ;60Can;;;
409P;LA PUNTILLA (SATÉLITE);50Can;;;
410P;JIPIJAPA, CABECERA CANTONAL;72Can;;;
411P;SIETE DE OCTUBRE;71Can;;;
412P;CARBO (CONCEPCIÓN) ;5Can;;;
413P;CORONEL MARCELINO MARIDUEÑA, CAB CANTONAL;166Can;;;
414P;SARDINAS;22Can;;;
415P;SAN CAMILO;71Can;;;
416P;BALZAR, CABECERA CANTONAL;167Can;;;
417P;CHONE, CABECERA CANTONAL;168Can;;;
418P;BOLÍVAR  (SAGRARIO) ;5Can;;;
419P;SANTA LUCIA, CAB CANTONAL;169Can;;;
420P;ROBERTO ASTUDILLO (CAB EN CRUCE DE VENECIA);79Can;;;
421P;XIMENA;5Can;;;
422P;MACHALILLA;43Can;;;
423P;LLOA;4Can;;;
424P;24 DE MAYO;71Can;;;
425P;NUEVE DE OCTUBRE;5Can;;;
426P;YAGUACHI NUEVO,SAN JACINTO DE JAHUACHI,CAB CANTONAL;170Can;;;
427P;SAN LORENZO;72Can;;;
428P;SAN JACINTO DE BUENA FE, CAB CANTONAL;171Can;;;
429P;QUINSALOMA, CABECERA CANTONAL;171Can;;;
430P;VELASCO IBARRA (CAB. EL EMPALME), CABECERA CANTONAL;173Can;;;
431P;CALCETA, CABECERA CANTONAL;174Can;;;
432P;SABANILLA;29Can;;;
433P;LOS ESTEROS;28Can;;;
434P;URDANETA;5Can;;;
435P;ANTONIO SOTOMAYOR (CAB EN PLAYAS DE VINCES);40Can;;;
436P;JUAN GOMEZ RENDON (PROGRESO);5Can;;;
437P;LA AURORA (SATÉLITE);161Can;;;
438P;HUACHI CHICO;42Can;;;
439P;POMASQUÍ;4Can;;;
440P;PUNA;5Can;;;
441P;NARCISA DE JESUS, CAB CANTONAL;175Can;;;
442P;ISLA SANTA MARÍA (FLOREANA) (CAB. EN PTO. VELASCO IBARRA);95Can;;;
443P;VENUS DEL RÍO QUEVEDO;71Can;;;
444P;MORRO;5Can;;;
445P;GARCÍA MORENO;94Can;;;
446P;SAN LORENZO DE JIPIJAPA;72Can;;;
447P;LETAMENDI;5Can;;;
448P;LOMAS DE SARGENTILLO;176Can;;;
449P;SAN FRANCISCO DE NATABUELA;113Can;;;
450P;LA ESPERANZA;18Can;;;
451P;SEIS DE JULIO DE CUELLAJE (CAB. EN CUELLAJE);94Can;;;
452P;MIRA (CHONTAHUASI), CAB CANTONAL;177Can;;;
453P;ANGOCHAGUA;18Can;;;
454P;ASCÁZUBI;55Can;;;
455P;JIJÓN Y CAAMAÑO (CAB. EN RÍO BLANCO);177Can;;;
456P;APUELA;94Can;;;
457P;CARANQUI;18Can;;;
458P;SAN JUAN DE MUYUNA;7Can;;;
459P;PIMAMPIRO;178Can;;;
460P;SAN PABLO;112Can;;;
461P;TABACUNDO, CABECERA CANTONAL;179Can;;;
462P;IMBAYA (SAN LUIS DE COBUENDO);113Can;;;
463P;JUAN MONTALVO;55Can;;;
464P;ANDRADE MARÍN  (LOURDES) ;113Can;;;
465P;TUPIGACHI;179Can;;;
466P;SAN JUAN DE ILUMÁN;112Can;;;
467P;CANGAHUA;55Can;;;
468P;SAN JOSE DE QUICHINCHE;112Can;;;
469P;PABLO ARENAS;109Can;;;
470P;GUAYZIMI;180Can;;;
471P;PACAYACU;75Can;;;
472P;MALACATOS (VALLADOLID);26Can;;;
473P;CARIAMANGA;181Can;;;
474P;MACARÁ (MANUEL ENRIQUE RENGEL SUQUILANDA);141Can;;;
475P;CATACOCHA, CABECERA CANTONAL;182Can;;;
476P;ZAPOTILLO, CABECERA CANTONAL;183Can;;;
477P;TIMBARA;29Can;;;
478P;PURUNUMA (EGUIGUREN);184Can;;;
479P;CELICA, CABECERA CANTONAL;185Can;;;
480P;GONZANAMÁ, CABECERA CANTONAL;127Can;;;
481P;BABA, CAB CANTONAL;186Can;;;
482P;GUIZHAGUIÑA;69Can;;;
483P;PACHICUTZA;127Can;;;
484P;AMALUZA, CABECERA CANTONAL;23Can;;;
485P;OLMEDO, CAB CANTONAL;188Can;;;
486P;CHAGUARPAMBA, CABECERA CANTONAL;189Can;;;
487P;CHILE;92Can;;;
488P;CARIAMANGA ;181Can;;;
489P;EL CARMEN, CABECERA CANTONAL;190Can;;;
490P;SAN PEDRO DE VILCABAMBA;26Can;;;
491P;QUINARA;26Can;;;
492P;PALANDA, CAB CANTONAL;191Can;;;
493P;CARIGÁN;26Can;;;
494P;ZUMBI, CAB CANTONAL;192Can;;;
495P;SAN BARTOLOMÉ DE PINLLOG;37Can;;;
496P;EL CABO;35Can;;;
497P;PUNZARA;26Can;;;
498P;FEBRES CORDERO (LAS JUNTAS) (CAB EN MATA DE CACAO);87Can;;;
499P;SANTA MARIANITA (BOCA DE PACOCHE);28Can;;;
500P;VALENCIA;193Can;;;
501P;VIVA ALFARO;168Can;;;
502P;MOCACHE, CAB CANTONAL;194Can;;;
503P;SAN JOSE DEL TAMBO (TAMBOPAMBA);92Can;;;
504P;AYACUCHO;199Can;;;
505P;ISLA DE BEJUCAL;186Can;;;
506P;NICOLÁS INFANTE DÍAZ;69Can;;;
507P;SAN CRISTÓBAL;95Can;;;
508P;PUEBLOVIEJO, CAB CANTONAL;195Can;;;
509P;BABAHOYO, CABECERA CANTONAL Y CAPITAL PROVINCIAL;87Can;;;
510P;ROCAFUERTE, CABECERA CANTONAL;196Can;;;
511P;JARAMIJÓ, CABECERA CANTONAL;197Can;;;
512P;JUNÍN;198Can;;;
513P;SANTA ANA DE VUELTA LARGA;199Can;;;
514P;FLAVIO ALFARO, CABECERA CANTONAL;200Can;;;
515P;WILFRIDO LOOR MOREIRA (MAICITO);190Can;;;
516P;18 DE OCTUBRE;166Can;;;
517P;DOCTOR MIGUEL MORÁN LUCIO ;33Can;;;
518P;ALHAJUELA (BAJO GRANDE);85Can;;;
519P;LUZ DE AMÉRICA;53Can;;;
520P;SIMÓN BOLÍVAR;174Can;;;
521P;RIOCHICO (RIO CHICO);85Can;;;
522P;PICOAZÁ;32Can;;;
523P;ABDÓN CALDERÓN (SAN FRANCISCO);4Can;;;
524P;ANGEL PEDRO GILER (LA ESTANCILLA);159Can;;;
525P;AMAGUAÑA;4Can;;;
526P;HONORATO VASQUEZ (CAB EN VASQUEZ);56Can;;;
527P;SAN ISIDRO;8Can;;;
528P;FRANCISCO PACHECO;66Can;;;
529P;SAN PLACIDO;85Can;;;
530P;SUCRE, CAB CANTONAL;73Can;;;
531P;SAN MATEO;93Can;;;
532P;HUAMBI;21Can;;;
533P;PATATE, CABECERA CANTONAL;202Can;;;
534P;SANTA MARIANITA DE JESUS;21Can;;;
535P;SANTIAGO;67Can;;;
